73,79900,7/20/2010,Listed
73,29500,4/22/2010,Sold
74,139900,2/7/2019,Listed
74,30000,4/2/1996,Sold
75,136000,2/4/2019,Listed
75,155606,11/24/2015,Sold
75,140183,9/24/2010,Sold
75,140183,6/16/2010,Listed
75,104900,9/16/2009,Sold
75,104900,3/5/2009,Listed
75,175000,9/7/2007,Sold
75,64000,6/14/2007,Sold
76,135000,2/8/2019,Listed
76,103000,9/24/2016,Sold
76,94900,8/21/2016,Sold
76,94900,8/11/2016,Listed
76,42000,3/9/1995,Sold
76,46600,12/31/1991,Sold
77,140000,1/29/2019,Listed
77,104900,8/18/2014,Sold
77,104900,6/12/2014,Listed
78,138900,1/25/2019,Listed
78,128000,7/26/2018,Sold
78,135000,3/26/2018,Listed
78,109000,5/15/2002,Sold
79,139900,1/24/2019,Listed
79,63000,8/6/1998,Sold
80,139900,1/24/2019,Listed
80,149900,3/23/2016,Listed
80,134900,2/12/2009,Listed
81,139000,1/17/2019,Listed
81,125600,8/6/2004,Sold
81,73600,7/14/2000,Sold
82,139900,1/11/2019,Listed
82,119900,2/9/2018,Sold
82,119900,12/27/2017,Sold
82,119900,11/13/2017,Listed
82,98000,4/18/2001,Sold
83,139900,1/11/2019,Listed
84,135000,1/4/2019,Listed
84,52700,9/20/2013,Sold
84,53000,9/5/2013,Sold
84,54900,8/23/2013,Price Changed
84,59900,8/5/2013,Relisted
84,65000,6/7/2013,Listed
84,64893,4/19/2013,Price Changed
84,69800,3/17/2013,Price Changed
85,135000,1/24/2019,Listed
86,139900,1/23/2019,Listed
86,75000,6/3/2015,Sold
86,125000,6/14/2005,Sold
87,139000,1/21/2019,Listed
87,134900,6/24/2003,Sold
87,42000,4/8/1998,Sold
88,139900,2/6/2019,Price Changed
88,145000,12/19/2018,Listed
88,44000,12/1/2011,Sold
88,57500,11/12/2011,Price Changed
88,64900,9/12/2011,Listed
89,135000,2/5/2019,Relisted
89,135000,1/11/2019,Listed
89,139900,2/25/2005,Sold
89,87500,12/29/2000,Sold
89,60190,12/11/1998,Sold
89,57320,4/30/1993,Sold
89,57600,5/31/1990,Sold
90,139900,1/9/2019,Listed
90,129900,6/9/2005,Sold
90,107000,7/16/2003,Sold
90,70000,4/5/2001,Sold
91,139900,1/11/2019,Price Changed
91,147900,1/2/2019,Price Changed
91,149900,12/20/2018,Price Changed
91,152500,12/11/2018,Price Changed
91,155000,12/1/2018,Listed
92,139777,2/5/2019,Relisted
92,139777,1/18/2019,Price Changed
92,144777,1/7/2019,Listed
92,94163,11/6/2018,Sold
93,137000,1/15/2019,Price Changed
93,139500,1/11/2019,Price Changed
93,139900,1/2/2019,Listed
93,95000,11/2/2015,Sold
93,95000,9/11/2015,Sold
93,96500,6/16/2015,Price Changed
93,99500,5/27/2015,Price Changed
93,109900,4/18/2015,Listed
94,139900,1/22/2019,Relisted
94,139900,12/24/2018,Listed
95,139000,12/17/2018,Listed
96,139900,10/8/2018,Listed
97,144900,12/14/2018,Listed
97,113000,8/5/2015,Sold
97,125900,6/19/2015,Listed
98,139900,1/15/2019,Relisted
98,139900,10/8/2018,Listed
99,141500,12/6/2018,Listed
99,94900,7/12/2013,Sold
99,75000,3/15/2012,Sold
99,109900,2/13/2010,Relisted
99,109900,11/4/2009,Listed
99,109900,7/22/2009,Listed
